EPOCH 5 G_LOSS: tf.Tensor(10.0018, shape=(), dtype=float32)
EPOCH 5 D_LOSS: tf.Tensor(0.9828102, shape=(), dtype=float32)
EPOCH 6 FID: tf.Tensor(419.03027, shape=(), dtype=float32)
EPOCH 6 G_LOSS: tf.Tensor(7.6891074, shape=(), dtype=float32)
EPOCH 6 D_LOSS: tf.Tensor(0.55564517, shape=(), dtype=float32)
EPOCH 7 FID: tf.Tensor(281.72818, shape=(), dtype=float32)
EPOCH 7 G_LOSS: tf.Tensor(6.1457505, shape=(), dtype=float32)
EPOCH 7 D_LOSS: tf.Tensor(0.68774086, shape=(), dtype=float32)
EPOCH 8 FID: tf.Tensor(329.78015, shape=(), dtype=float32)
EPOCH 8 G_LOSS: tf.Tensor(7.057301, shape=(), dtype=float32)
EPOCH 8 D_LOSS: tf.Tensor(0.5291533, shape=(), dtype=float32)
EPOCH 9 FID: tf.Tensor(297.97543, shape=(), dtype=float32)
EPOCH 9 G_LOSS: tf.Tensor(6.730738, shape=(), dtype=float32)
EPOCH 9 D_LOSS: tf.Tensor(0.6403525, shape=(), dtype=float32)
EPOCH 10 FID: tf.Tensor(326.3466, shape=(), dtype=float32)
EPOCH 10 G_LOSS: tf.Tensor(6.7436333, shape=(), dtype=float32)
EPOCH 10 D_LOSS: tf.Tensor(0.48525706, shape=(), dtype=float32)
EPOCH 11 FID: tf.Tensor(356.2196, shape=(), dtype=float32)
EPOCH 11 G_LOSS: tf.Tensor(6.4646955, shape=(), dtype=float32)
EPOCH 11 D_LOSS: tf.Tensor(0.54453456, shape=(), dtype=float32)
EPOCH 12 FID: tf.Tensor(366.13675, shape=(), dtype=float32)
EPOCH 12 G_LOSS: tf.Tensor(9.658288, shape=(), dtype=float32)
EPOCH 12 D_LOSS: tf.Tensor(0.5298373, shape=(), dtype=float32)
EPOCH 13 FID: tf.Tensor(459.0414, shape=(), dtype=float32)
EPOCH 13 G_LOSS: tf.Tensor(5.9845104, shape=(), dtype=float32)
EPOCH 13 D_LOSS: tf.Tensor(0.6005096, shape=(), dtype=float32)
EPOCH 14 FID: tf.Tensor(358.525, shape=(), dtype=float32)
EPOCH 14 G_LOSS: tf.Tensor(6.4487762, shape=(), dtype=float32)
EPOCH 14 D_LOSS: tf.Tensor(0.5389287, shape=(), dtype=float32)
EPOCH 15 FID: tf.Tensor(366.96243, shape=(), dtype=float32)
EPOCH 15 G_LOSS: tf.Tensor(7.737966, shape=(), dtype=float32)
EPOCH 15 D_LOSS: tf.Tensor(0.57316786, shape=(), dtype=float32)
EPOCH 16 FID: tf.Tensor(348.96017, shape=(), dtype=float32)
EPOCH 16 G_LOSS: tf.Tensor(6.953341, shape=(), dtype=float32)
EPOCH 16 D_LOSS: tf.Tensor(0.48085225, shape=(), dtype=float32)
EPOCH 17 FID: tf.Tensor(368.12253, shape=(), dtype=float32)
EPOCH 17 G_LOSS: tf.Tensor(7.093109, shape=(), dtype=float32)
EPOCH 17 D_LOSS: tf.Tensor(0.4197464, shape=(), dtype=float32)
EPOCH 18 FID: tf.Tensor(308.80695, shape=(), dtype=float32)
EPOCH 18 G_LOSS: tf.Tensor(8.195809, shape=(), dtype=float32)
EPOCH 18 D_LOSS: tf.Tensor(0.45722482, shape=(), dtype=float32)
EPOCH 19 FID: tf.Tensor(344.22824, shape=(), dtype=float32)
EPOCH 19 G_LOSS: tf.Tensor(4.4844823, shape=(), dtype=float32)
EPOCH 19 D_LOSS: tf.Tensor(0.43071344, shape=(), dtype=float32)
EPOCH 0 FID: tf.Tensor(307.27832, shape=(), dtype=float32)
EPOCH 0 G_LOSS: tf.Tensor(7.0260186, shape=(), dtype=float32)
EPOCH 0 D_LOSS: tf.Tensor(0.5633051, shape=(), dtype=float32)
EPOCH 1 FID: tf.Tensor(350.47787, shape=(), dtype=float32)
EPOCH 1 G_LOSS: tf.Tensor(5.878603, shape=(), dtype=float32)
EPOCH 1 D_LOSS: tf.Tensor(0.6371849, shape=(), dtype=float32)
EPOCH 2 FID: tf.Tensor(281.75745, shape=(), dtype=float32)
